run_id,decoder_type,architecture_variant,layer_count,hidden_size,status,runtime_seconds,model_dir,validation_loss,validation_accuracy
rnn_preinject_layers1_hidden128,rnn,preinject,1,128,trained,640.426997300001,models/captioning/rnn_preinject_layers1_hidden128,1.2604069709777832,0.12832726538181305
rnn_preinject_layers1_hidden512,rnn,preinject,1,512,trained,675.2468659000006,models/captioning/rnn_preinject_layers1_hidden512,1.3769108057022095,0.12756364047527313
rnn_preinject_layers2_hidden128,rnn,preinject,2,128,trained,925.8744630000001,models/captioning/rnn_preinject_layers2_hidden128,1.2572938203811646,0.1303333342075348
rnn_preinject_layers2_hidden512,rnn,preinject,2,512,trained,1084.2523588000004,models/captioning/rnn_preinject_layers2_hidden512,1.3121901750564575,0.1276666671037674
rnn_preinject_layers3_hidden128,rnn,preinject,3,128,trained,1401.198891,models/captioning/rnn_preinject_layers3_hidden128,1.2486779689788818,0.1305333375930786
rnn_preinject_layers3_hidden512,rnn,preinject,3,512,trained,1622.1698284999984,models/captioning/rnn_preinject_layers3_hidden512,1.2927838563919067,0.12937575578689575
lstm_preinject_layers1_hidden128,lstm,preinject,1,128,trained,386.03098979999777,models/captioning/lstm_preinject_layers1_hidden128,1.201720952987671,0.13663029670715332
lstm_preinject_layers1_hidden512,lstm,preinject,1,512,trained,444.99179450000156,models/captioning/lstm_preinject_layers1_hidden512,1.3196500539779663,0.13443030416965485
lstm_preinject_layers2_hidden128,lstm,preinject,2,128,trained,456.49339930000133,models/captioning/lstm_preinject_layers2_hidden128,1.2003740072250366,0.1366666704416275
lstm_preinject_layers2_hidden512,lstm,preinject,2,512,trained,545.1371229999968,models/captioning/lstm_preinject_layers2_hidden512,1.2685575485229492,0.1355878859758377
lstm_preinject_layers3_hidden128,lstm,preinject,3,128,trained,529.2958092000008,models/captioning/lstm_preinject_layers3_hidden128,1.2126137018203735,0.13445454835891724
lstm_preinject_layers3_hidden512,lstm,preinject,3,512,trained,644.1286514000021,models/captioning/lstm_preinject_layers3_hidden512,1.2273664474487305,0.13583029806613922
