parameter_sharing,run_id,base_run_id,conv_layer_count,filter_profile,kernel_profile,pooling_type,params,epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,1,0.9279904961585999,0.6488243937492371,0.8144093751907349,0.7074126601219177
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,2,0.5596941113471985,0.7990737557411194,0.6490134000778198,0.7701354026794434
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,3,0.35818013548851013,0.8723726272583008,0.7427607774734497,0.7594440579414368
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,4,0.20279130339622498,0.9295511245727539,0.8475154042243958,0.7576621770858765
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,5,0.10233548283576965,0.969451367855072,1.0486143827438354,0.7565929889678955
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,6,0.07146811485290527,0.9792482852935791,1.0392544269561768,0.7687098979949951
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,7,0.06219583377242088,0.9808514714241028,1.1511365175247192,0.7508909702301025
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,8,0.04417574033141136,0.9875311851501465,1.2419465780258179,0.760513186454773
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,9,0.027451597154140472,0.9931421279907227,1.4172285795211792,0.7804704308509827
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,10,0.03921638801693916,0.9882436990737915,1.210893988609314,0.782252311706543
shared,shared_l2_f32-64_k3x3-3x3_max,shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,11,0.04826600104570389,0.9858389496803284,1.6438933610916138,0.7220242619514465
