rank,run_id,status,conv_layer_count,filter_profile,kernel_profile,pooling_type,params,loss,sparse_categorical_accuracy,macro_f1,model_dir
1,shared_l2_f32-64_k3x3-3x3_max,trained,2,32-64,3x3-3x3,max,7393094,1.5895211696624756,0.7854597568511963,0.7861723273206657,models/cnn/shared_l2_f32-64_k3x3-3x3_max
2,shared_l2_f16-32_k3x3-3x3_max,trained,2,16-32,3x3-3x3,max,3692390,1.5234442949295044,0.7658588886260986,0.7663280757506601,models/cnn/shared_l2_f16-32_k3x3-3x3_max
3,shared_l2_f32-64_k3x3-3x3_average,trained,2,32-64,3x3-3x3,average,7393094,1.822985053062439,0.753385603427887,0.7540500897184871,models/cnn/shared_l2_f32-64_k3x3-3x3_average
4,shared_l2_f16-32_k3x3-3x3_average,trained,2,16-32,3x3-3x3,average,3692390,1.6375035047531128,0.7544547319412231,0.7538998839983585,models/cnn/shared_l2_f16-32_k3x3-3x3_average
5,shared_l2_f16-32_k5x5-3x3_max,trained,2,16-32,5x5-3x3,max,3693158,1.8506144285202026,0.746614396572113,0.7468047187796535,models/cnn/shared_l2_f16-32_k5x5-3x3_max
6,shared_l2_f32-64_k5x5-3x3_average,trained,2,32-64,5x5-3x3,average,7394630,2.0011708736419678,0.7259443998336792,0.7257568901849257,models/cnn/shared_l2_f32-64_k5x5-3x3_average
7,shared_l2_f32-64_k5x5-3x3_max,trained,2,32-64,5x5-3x3,max,7394630,2.2222771644592285,0.7270135283470154,0.7256954245765551,models/cnn/shared_l2_f32-64_k5x5-3x3_max
8,shared_l2_f16-32_k5x5-3x3_average,trained,2,16-32,5x5-3x3,average,3693158,1.9714680910110474,0.7124019861221313,0.7119773998946655,models/cnn/shared_l2_f16-32_k5x5-3x3_average
9,shared_l1_f32_k3x3_max,trained,1,32,3x3,max,16258822,2.4945931434631348,0.6853171586990356,0.6809477321829353,models/cnn/shared_l1_f32_k3x3_max
10,shared_l1_f16_k3x3_average,trained,1,16,3x3,average,8129862,2.3229899406433105,0.6653599143028259,0.663640610207061,models/cnn/shared_l1_f16_k3x3_average
11,shared_l1_f16_k3x3_max,trained,1,16,3x3,max,8129862,2.501293897628784,0.6682109832763672,0.6594982256536546,models/cnn/shared_l1_f16_k3x3_max
12,shared_l1_f32_k5x5_max,trained,1,32,5x5,max,15748358,2.9632136821746826,0.6518175601959229,0.6537960504039683,models/cnn/shared_l1_f32_k5x5_max
13,shared_l1_f32_k5x5_average,trained,1,32,5x5,average,15748358,2.85962176322937,0.6489664912223816,0.6436003767349232,models/cnn/shared_l1_f32_k5x5_average
14,shared_l1_f16_k5x5_max,trained,1,16,5x5,max,7874630,2.938920259475708,0.6325730681419373,0.6260339240757298,models/cnn/shared_l1_f16_k5x5_max
15,shared_l1_f16_k5x5_average,trained,1,16,5x5,average,7874630,3.038858652114868,0.622238039970398,0.625452416374886,models/cnn/shared_l1_f16_k5x5_average
16,shared_l1_f32_k3x3_average,trained,1,32,3x3,average,16258822,3.0864856243133545,0.586600124835968,0.5643795491850218,models/cnn/shared_l1_f32_k3x3_average
