factor,value,experiment_count,mean_macro_f1,max_macro_f1,mean_accuracy,mean_loss,best_run_id
conv_layer_count,1,8,0.6396686106022724,0.6809477321829353,0.6451354175806046,2.7757471203804016,shared_l1_f32_k3x3_max
conv_layer_count,2,8,0.7463356012779964,0.7861723273206657,0.746391661465168,1.8273730725049973,shared_l2_f32-64_k3x3-3x3_max
filter_profile,16,4,0.6436562940778329,0.663640610207061,0.6470955014228821,2.7005156874656677,shared_l1_f16_k3x3_average
filter_profile,16-32,4,0.7447525196058344,0.7663280757506601,0.7448325008153915,1.7457575798034668,shared_l2_f16-32_k3x3-3x3_max
filter_profile,32,4,0.6356809271267121,0.6809477321829353,0.643175333738327,2.8509785532951355,shared_l1_f32_k3x3_max
filter_profile,32-64,4,0.7479186829501584,0.7861723273206657,0.7479508221149445,1.9089885652065277,shared_l2_f32-64_k3x3-3x3_max
kernel_profile,3x3,4,0.6421165293071681,0.6809477321829353,0.6513720452785492,2.601340651512146,shared_l1_f32_k3x3_max
kernel_profile,3x3-3x3,4,0.7651125941970428,0.7861723273206657,0.7647897452116013,1.643363505601883,shared_l2_f32-64_k3x3-3x3_max
kernel_profile,5x5,4,0.6372206918973768,0.6537960504039683,0.6388987898826599,2.9501535892486572,shared_l1_f32_k5x5_max
kernel_profile,5x5-3x3,4,0.7275586083589499,0.7468047187796535,0.7279935777187347,2.0113826394081116,shared_l2_f16-32_k5x5-3x3_max
pooling_type,average,8,0.6803446520372911,0.7540500897184871,0.6836689114570618,2.3426354378461838,shared_l2_f32-64_k3x3-3x3_average
pooling_type,max,8,0.7056595598429778,0.7861723273206657,0.7078581675887108,2.260484755039215,shared_l2_f32-64_k3x3-3x3_max
