run_id,conv_layer_count,filter_profile,kernel_profile,pooling_type,params,epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,1,0.9279904961585999,0.6488243937492371,0.8144093751907349,0.7074126601219177
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,2,0.5596941113471985,0.7990737557411194,0.6490134000778198,0.7701354026794434
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,3,0.35818013548851013,0.8723726272583008,0.7427607774734497,0.7594440579414368
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,4,0.20279130339622498,0.9295511245727539,0.8475154042243958,0.7576621770858765
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,5,0.10233548283576965,0.969451367855072,1.0486143827438354,0.7565929889678955
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,6,0.07146811485290527,0.9792482852935791,1.0392544269561768,0.7687098979949951
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,7,0.06219583377242088,0.9808514714241028,1.1511365175247192,0.7508909702301025
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,8,0.04417574033141136,0.9875311851501465,1.2419465780258179,0.760513186454773
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,9,0.027451597154140472,0.9931421279907227,1.4172285795211792,0.7804704308509827
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,10,0.03921638801693916,0.9882436990737915,1.210893988609314,0.782252311706543
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,11,0.04826600104570389,0.9858389496803284,1.6438933610916138,0.7220242619514465
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,12,0.0447486937046051,0.9873530268669128,1.6810258626937866,0.7095509767532349
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,13,0.03230753913521767,0.9902030825614929,1.3634607791900635,0.7697790265083313
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,14,0.033784110099077225,0.9906483888626099,1.4209785461425781,0.7491090297698975
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,15,0.0266193225979805,0.9933202862739563,1.570238709449768,0.7426941990852356
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,16,0.03771611303091049,0.9885108470916748,1.6646783351898193,0.7551674842834473
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,17,0.03138585761189461,0.9910046458244324,1.7249644994735718,0.7576621770858765
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,18,0.019227035343647003,0.9944781064987183,1.5627262592315674,0.7662152647972107
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,19,0.011826579459011555,0.9983078241348267,1.5342532396316528,0.7647897601127625
shared_l2_f32-64_k3x3-3x3_max,2,32-64,3x3-3x3,max,7393094,20,0.005489715375006199,0.9991984367370605,1.5895211696624756,0.7854597568511963
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,1,0.9809797406196594,0.6306555271148682,0.8265518546104431,0.7027797698974609
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,2,0.6363373398780823,0.7697719931602478,0.6355366706848145,0.7726300954818726
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,3,0.461706280708313,0.8380833864212036,0.6556435823440552,0.7687098979949951
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,4,0.3031005263328552,0.8951727747917175,0.6845790147781372,0.7647897601127625
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,5,0.17817261815071106,0.9439793229103088,0.7593924403190613,0.7672843933105469
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,6,0.10677003860473633,0.9682044982910156,0.8849704265594482,0.7519600987434387
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,7,0.07801902294158936,0.9779123663902283,1.12152099609375,0.7580185532569885
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,8,0.07569526135921478,0.9790701866149902,1.093872308731079,0.7726300954818726
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,9,0.030917637050151825,0.9932312369346619,1.0747371912002563,0.7847469449043274
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,10,0.03246224671602249,0.9926968216896057,1.1578840017318726,0.7722737193107605
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,11,0.045958008617162704,0.9880655407905579,1.2669888734817505,0.7419814467430115
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,12,0.04862899333238602,0.9861061573028564,1.338340163230896,0.7384176850318909
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,13,0.02788451500236988,0.9931421279907227,1.377686858177185,0.7512473464012146
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,14,0.034377675503492355,0.9906483888626099,1.3813581466674805,0.7476835250854492
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,15,0.021211687475442886,0.9957249760627747,1.3826154470443726,0.7726300954818726
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,16,0.011632764711976051,0.9987531304359436,1.3637490272521973,0.7797576785087585
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,17,0.015622647479176521,0.9968827962875366,1.5085679292678833,0.7487526535987854
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,18,0.04130496084690094,0.9868186712265015,1.5394926071166992,0.7448325157165527
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,19,0.02221624180674553,0.9938546419143677,1.6569545269012451,0.746614396572113
shared_l2_f16-32_k3x3-3x3_max,2,16-32,3x3-3x3,max,3692390,20,0.015356632880866528,0.9959921836853027,1.5234442949295044,0.7658588886260986
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,1,0.9603566527366638,0.6358211636543274,0.845897912979126,0.7027797698974609
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,2,0.6575024127960205,0.7596188187599182,0.7250083684921265,0.7508909702301025
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,3,0.47618210315704346,0.8224973082542419,0.8015948534011841,0.7234497666358948
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,4,0.3077756464481354,0.8916993141174316,0.7813404202461243,0.7565929889678955
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,5,0.19574245810508728,0.9344496130943298,0.9071074724197388,0.7487526535987854
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,6,0.11370151489973068,0.9631279110908508,1.0307108163833618,0.7598004341125488
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,7,0.09875401109457016,0.9683825969696045,1.212924599647522,0.7348538637161255
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,8,0.08320314437150955,0.9751514196395874,1.2363648414611816,0.7526728510856628
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,9,0.057020507752895355,0.9825436472892761,1.3195304870605469,0.7523164749145508
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,10,0.05363663285970688,0.9846811294555664,1.3729314804077148,0.7491090297698975
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,11,0.04862772673368454,0.9851264953613281,1.4439804553985596,0.739486813545227
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,12,0.03201685845851898,0.9916280508041382,1.5954487323760986,0.7373485565185547
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,13,0.028531696647405624,0.9918062090873718,1.8319851160049438,0.7309337258338928
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,14,0.04784790799021721,0.9865514636039734,1.4794800281524658,0.7555238604545593
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,15,0.03406421095132828,0.9904702305793762,1.7376313209533691,0.7416250705718994
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,16,0.03806908428668976,0.9887780547142029,1.9832667112350464,0.7312901020050049
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,17,0.024774586781859398,0.9943890571594238,1.9900814294815063,0.7419814467430115
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,18,0.014675110578536987,0.997417151927948,1.948116421699524,0.7312901020050049
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,19,0.06549452245235443,0.9810295701026917,1.6715079545974731,0.7430506348609924
shared_l2_f32-64_k3x3-3x3_average,2,32-64,3x3-3x3,average,7393094,20,0.02116391994059086,0.9945671558380127,1.822985053062439,0.753385603427887
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,1,1.0192562341690063,0.6123085021972656,0.9138539433479309,0.6414825320243835
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,2,0.7342369556427002,0.7295154929161072,0.7333793044090271,0.7316464781761169
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,3,0.5849977731704712,0.7894549369812012,0.758204996585846,0.7369921803474426
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,4,0.4427429437637329,0.8388849496841431,0.7071640491485596,0.7530292272567749
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,5,0.31535372138023376,0.8917883634567261,0.7035462856292725,0.7712045907974243
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,6,0.21466799080371857,0.927947998046875,0.7826792597770691,0.7565929889678955
shared_l2_f16-32_k3x3-3x3_average,2,16-32,3x3-3x3,average,3692390,7,0.15826928615570068,0.9495012760162354,0.9062923789024353,0.7558802366256714
